model,date,location,horizon,prediction,true_value,quantile
flu,2022-10-08,Mississippi,4,4,60,0.025
flu,2022-10-08,Mississippi,4,11,60,0.25
flu,2022-10-08,Mississippi,4,18,60,0.5
flu,2022-10-08,Mississippi,4,27,60,0.75
flu,2022-10-08,Mississippi,4,57,60,0.975
flu,2022-09-17,Missouri,1,2,6,0.025
flu,2022-09-17,Missouri,1,5,6,0.25
flu,2022-09-17,Missouri,1,7,6,0.5
flu,2022-09-17,Missouri,1,10,6,0.75
flu,2022-09-17,Missouri,1,16,6,0.975
flu,2022-09-24,Missouri,2,2,8,0.025
flu,2022-09-24,Missouri,2,5,8,0.25
flu,2022-09-24,Missouri,2,8,8,0.5
flu,2022-09-24,Missouri,2,11,8,0.75
flu,2022-09-24,Missouri,2,19,8,0.975
flu,2022-10-01,Missouri,3,2,12,0.025
flu,2022-10-01,Missouri,3,5,12,0.25
flu,2022-10-01,Missouri,3,8,12,0.5
flu,2022-10-01,Missouri,3,11,12,0.75
flu,2022-10-01,Missouri,3,21,12,0.975
flu,2022-10-08,Missouri,4,2,6,0.025
flu,2022-10-08,Missouri,4,5,6,0.25
flu,2022-10-08,Missouri,4,8,6,0.5
flu,2022-10-08,Missouri,4,12,6,0.75
flu,2022-10-08,Missouri,4,23,6,0.975
flu,2022-09-17,Montana,1,0,1,0.025
flu,2022-09-17,Montana,1,0,1,0.25
flu,2022-09-17,Montana,1,0,1,0.5
flu,2022-09-17,Montana,1,1,1,0.75
flu,2022-09-17,Montana,1,3,1,0.975
flu,2022-09-24,Montana,2,0,0,0.025
flu,2022-09-24,Montana,2,0,0,0.25
flu,2022-09-24,Montana,2,0,0,0.5
flu,2022-09-24,Montana,2,1,0,0.75
flu,2022-09-24,Montana,2,3,0,0.975
flu,2022-10-01,Montana,3,0,2,0.025
flu,2022-10-01,Montana,3,0,2,0.25
flu,2022-10-01,Montana,3,0,2,0.5
flu,2022-10-01,Montana,3,1,2,0.75
flu,2022-10-01,Montana,3,4,2,0.975
flu,2022-10-08,Montana,4,0,0,0.025
flu,2022-10-08,Montana,4,0,0,0.25
flu,2022-10-08,Montana,4,1,0,0.5
flu,2022-10-08,Montana,4,1,0,0.75
flu,2022-10-08,Montana,4,4,0,0.975
flu,2022-09-17,Nebraska,1,0,9,0.025
flu,2022-09-17,Nebraska,1,2,9,0.25
flu,2022-09-17,Nebraska,1,4,9,0.5
flu,2022-09-17,Nebraska,1,5,9,0.75
flu,2022-09-17,Nebraska,1,10,9,0.975
flu,2022-09-24,Nebraska,2,0,2,0.025
flu,2022-09-24,Nebraska,2,2,2,0.25
flu,2022-09-24,Nebraska,2,4,2,0.5
flu,2022-09-24,Nebraska,2,6,2,0.75
flu,2022-09-24,Nebraska,2,11,2,0.975
