location,date,epiweek,epiyear,population,count,weekly_rate
Texas,2020-12-12,50,2020,29914599,190,0.6351413903291834
US,2020-12-12,50,2020,332200066,587,0.17670074755493878
Utah,2020-12-12,50,2020,3376238,4,0.11847506011128363
Vermont,2020-12-12,50,2020,646910,0,0
Virginia,2020-12-12,50,2020,8583866,30,0.34949287418978814
Washington,2020-12-12,50,2020,7735834,3,0.038780563285096346
West Virginia,2020-12-12,50,2020,1774977,2,0.11267751638471935
Wisconsin,2020-12-12,50,2020,5891022,1,0.016974983288128954
Wyoming,2020-12-12,50,2020,578583,0,0
Alabama,2020-12-19,51,2020,5063778,34,0.671435438125447
Alaska,2020-12-19,51,2020,711426,7,0.9839392993789937
Arizona,2020-12-19,51,2020,7341018,15,0.20433133388312083
Arkansas,2020-12-19,51,2020,3041878,12,0.3944931387780838
California,2020-12-19,51,2020,38886551,53,0.13629390788604523
Colorado,2020-12-19,51,2020,5803748,5,0.08615122503595952
Connecticut,2020-12-19,51,2020,3621089,3,0.0828480051166928
Delaware,2020-12-19,51,2020,1014872,8,0.7882767482007583
District of Columbia,2020-12-19,51,2020,668576,0,0
Florida,2020-12-19,51,2020,22183852,50,0.22538917046507523
Georgia,2020-12-19,51,2020,10855454,18,0.1658152666852994
Hawaii,2020-12-19,51,2020,1398977,0,0
Idaho,2020-12-19,51,2020,1935521,2,0.10333135109358152
Illinois,2020-12-19,51,2020,12563096,3,0.023879464106618304
Indiana,2020-12-19,51,2020,6831941,11,0.1610084162026575
Iowa,2020-12-19,51,2020,3200224,4,0.12499125061245712
Kansas,2020-12-19,51,2020,2916451,23,0.7886297421077878
Kentucky,2020-12-19,51,2020,4494379,41,0.9122506134885375
Louisiana,2020-12-19,51,2020,4575074,10,0.2185756995405976
Maine,2020-12-19,51,2020,1384543,0,0
Maryland,2020-12-19,51,2020,6133130,2,0.032609776737163566
Massachusetts,2020-12-19,51,2020,6978662,3,0.04298818312163564
Michigan,2020-12-19,51,2020,10032075,11,0.10964830306790968
Minnesota,2020-12-19,51,2020,5716548,0,0
Mississippi,2020-12-19,51,2020,2927305,11,0.37577225468476977
Missouri,2020-12-19,51,2020,6164537,17,0.27577091353332783
Montana,2020-12-19,51,2020,1119563,1,0.08932056525626517
Nebraska,2020-12-19,51,2020,1961505,3,0.1529437855116352
Nevada,2020-12-19,51,2020,3165539,10,0.3159019680376707
New Hampshire,2020-12-19,51,2020,1394692,0,0
New Jersey,2020-12-19,51,2020,9254137,14,0.15128369074285372
New Mexico,2020-12-19,51,2020,2100079,8,0.3809380504257221
New York,2020-12-19,51,2020,19657190,38,0.1933134898731711
North Carolina,2020-12-19,51,2020,10596562,8,0.07549618451720473
North Dakota,2020-12-19,51,2020,772061,0,0
Ohio,2020-12-19,51,2020,11749303,5,0.04255571585820878
Oklahoma,2020-12-19,51,2020,4001266,23,0.5748180700808194
Oregon,2020-12-19,51,2020,4238665,0,0
Pennsylvania,2020-12-19,51,2020,12969276,7,0.05397371449262087
Puerto Rico,2020-12-19,51,2020,3221789,20,0.6207731170477023
Rhode Island,2020-12-19,51,2020,1090390,0,0
South Carolina,2020-12-19,51,2020,5246039,11,0.20968200960762967
South Dakota,2020-12-19,51,2020,906458,2,0.22063901471441588
Tennessee,2020-12-19,51,2020,7030607,22,0.312917504847021
Texas,2020-12-19,51,2020,29914599,230,0.7688553672405904
US,2020-12-19,51,2020,332200066,777,0.23389519735977415
Utah,2020-12-19,51,2020,3376238,0,0
Vermont,2020-12-19,51,2020,646910,0,0
Virginia,2020-12-19,51,2020,8583866,24,0.2795942993518305
Washington,2020-12-19,51,2020,7735834,1,0.012926854428365449
West Virginia,2020-12-19,51,2020,1774977,5,0.28169379096179836
Wisconsin,2020-12-19,51,2020,5891022,2,0.03394996657625791
Wyoming,2020-12-19,51,2020,578583,0,0
Alabama,2020-12-26,52,2020,5063778,30,0.5924430336401003
Alaska,2020-12-26,52,2020,711426,1,0.14056275705414195
Arizona,2020-12-26,52,2020,7341018,26,0.3541743120640761
Arkansas,2020-12-26,52,2020,3041878,9,0.29586985408356287
California,2020-12-26,52,2020,38886551,70,0.18001082173628616
Colorado,2020-12-26,52,2020,5803748,11,0.18953269507911094
Connecticut,2020-12-26,52,2020,3621089,0,0
Delaware,2020-12-26,52,2020,1014872,2,0.19706918705018958
District of Columbia,2020-12-26,52,2020,668576,0,0
Florida,2020-12-26,52,2020,22183852,78,0.35160710592551736
Georgia,2020-12-26,52,2020,10855454,21,0.1934511444661826
Hawaii,2020-12-26,52,2020,1398977,0,0
Idaho,2020-12-26,52,2020,1935521,2,0.10333135109358152
Illinois,2020-12-26,52,2020,12563096,3,0.023879464106618304
Indiana,2020-12-26,52,2020,6831941,12,0.17564554494835363
Iowa,2020-12-26,52,2020,3200224,2,0.06249562530622856
Kansas,2020-12-26,52,2020,2916451,5,0.1714412482843017
Kentucky,2020-12-26,52,2020,4494379,28,0.6230004189677818
Louisiana,2020-12-26,52,2020,4575074,9,0.19671812958653784
Maine,2020-12-26,52,2020,1384543,1,0.07222599803689737
Maryland,2020-12-26,52,2020,6133130,2,0.032609776737163566
Massachusetts,2020-12-26,52,2020,6978662,4,0.05731757749551418
Michigan,2020-12-26,52,2020,10032075,10,0.09968027551628153
Minnesota,2020-12-26,52,2020,5716548,1,0.017493074491808692
Mississippi,2020-12-26,52,2020,2927305,19,0.6490611671827842
Missouri,2020-12-26,52,2020,6164537,11,0.17844000287450623
Montana,2020-12-26,52,2020,1119563,1,0.08932056525626517
Nebraska,2020-12-26,52,2020,1961505,0,0
Nevada,2020-12-26,52,2020,3165539,3,0.0947705904113012
New Hampshire,2020-12-26,52,2020,1394692,2,0.14340083688728408
New Jersey,2020-12-26,52,2020,9254137,11,0.1188657570122422
New Mexico,2020-12-26,52,2020,2100079,3,0.1428517689096458
New York,2020-12-26,52,2020,19657190,38,0.1933134898731711
North Carolina,2020-12-26,52,2020,10596562,14,0.13211832290510828
North Dakota,2020-12-26,52,2020,772061,1,0.129523444391052
Ohio,2020-12-26,52,2020,11749303,15,0.12766714757462636
Oklahoma,2020-12-26,52,2020,4001266,14,0.3498892600491944
Oregon,2020-12-26,52,2020,4238665,0,0
Pennsylvania,2020-12-26,52,2020,12969276,18,0.13878955155245365
Puerto Rico,2020-12-26,52,2020,3221789,8,0.24830924681908095
Rhode Island,2020-12-26,52,2020,1090390,0,0
South Carolina,2020-12-26,52,2020,5246039,21,0.4003020183418385
South Dakota,2020-12-26,52,2020,906458,1,0.11031950735720794
Tennessee,2020-12-26,52,2020,7030607,34,0.4835997802181234
Texas,2020-12-26,52,2020,29914599,214,0.7153697764760276
US,2020-12-26,52,2020,332200066,825,0.24834432152099573
Utah,2020-12-26,52,2020,3376238,0,0
Vermont,2020-12-26,52,2020,646910,0,0
Virginia,2020-12-26,52,2020,8583866,55,0.6407369360146116
Washington,2020-12-26,52,2020,7735834,3,0.038780563285096346
West Virginia,2020-12-26,52,2020,1774977,10,0.5633875819235967
Wisconsin,2020-12-26,52,2020,5891022,2,0.03394996657625791
Wyoming,2020-12-26,52,2020,578583,0,0
